NomeProduto,Categoria,Preco,Origem,QuantidadeVendida,Litros,ImpactoAmbiental
Exclusivo Oxigênio Eficiente Natural,Hidrogênio Gasoso,155.0,Nacional,1100,,6.1
Exclusivo Hidrogênio Puro Natural,Oxigênio Líquido,216.0,Internacional,1170,81.2,6.44
Plus Oxigênio Puro Extra,Hidrogênio Gasoso,223.0,Importado Especial,1852,,5.52
Super Hidrogênio Puro Verde,Oxigênio Gasoso,256.0,Nacional,453,,0.45
Hiper Hidrogênio Puro Eficiente,Hidrogênio Gasoso,203.0,Importado Especial,1585,,7.89
Ultra Oxigênio Puro Puro,Hidrogênio Líquido,228.0,Nacional Premium,365,36.83,7.26
Essencial Oxigênio Puro Puro,Hidrogênio Gasoso,161.0,Local,1209,,5.91
Avançado Hidrogênio Verde Extra,Oxigênio Gasoso,188.0,Internacional,311,,5.19
Max Hidrogênio Puro Natural,Hidrogênio Líquido,208.0,Internacional,2000,59.43,7.35
Essencial Hidrogênio Eficiente Extra,Hidrogênio Gasoso,252.0,Local,1427,,4.89
Ultra Oxigênio Eficiente Poderoso,Oxigênio Líquido,190.0,Importado Especial,953,18.84,2.2
Plus Hidrogênio Puro Avançado,Oxigênio Gasoso,207.0,Importado Especial,853,,6.36
Max Oxigênio Eficiente Verde,Hidrogênio Líquido,201.0,Local,857,59.29,8.58
Max Oxigênio Puro Extra,Oxigênio Gasoso,182.0,Nacional Premium,129,,4.07
Hiper Hidrogênio Verde Avançado,Hidrogênio Gasoso,188.0,Internacional,155,,6.74
Plus Hidrogênio Eficiente Poderoso,Hidrogênio Líquido,215.0,Nacional Premium,1224,33.32,9.7
Super Hidrogênio Verde Poderoso,Oxigênio Líquido,182.0,Importado,1830,93.13,8.0
Ultra Oxigênio Puro Natural,Oxigênio Gasoso,197.0,Nacional Premium,1044,,8.96
Essencial Hidrogênio Puro Poderoso,Hidrogênio Líquido,219.0,Nacional Premium,1135,20.6,0.38
Essencial Oxigênio Puro Avançado,Oxigênio Líquido,207.0,Importado Especial,1222,24.94,6.01
Avançado Oxigênio Premium Natural,Hidrogênio Gasoso,152.0,Importado Exclusivo,1606,,1.07
Essencial Oxigênio Eficiente Essencial,Oxigênio Gasoso,181.0,Internacional,1000,,8.41
Hiper Oxigênio Premium Essencial,Hidrogênio Gasoso,138.0,Nacional,114,,6.14
Max Oxigênio Eficiente Puro,Oxigênio Líquido,170.0,Importado Exclusivo,1648,81.85,3.68
Ultra Hidrogênio Puro Premium,Hidrogênio Gasoso,264.0,Nacional Premium,520,,7.32
Avançado Oxigênio Premium Essencial,Oxigênio Gasoso,164.0,Nacional,1690,,0.18
Plus Oxigênio Puro Essencial,Oxigênio Líquido,217.0,Importado Especial,1982,28.69,1.27
Plus Hidrogênio Eficiente Poderoso,Hidrogênio Gasoso,209.0,Importado Especial,786,,9.72
Hiper Hidrogênio Puro Verde,Oxigênio Líquido,244.0,Local,1408,70.41,1.99
Ultra Oxigênio Eficiente Puro,Hidrogênio Líquido,204.0,Importado Especial,1723,62.51,5.54
Super Hidrogênio Verde Poderoso,Oxigênio Líquido,192.0,Importado,207,86.51,1.26
Max Hidrogênio Verde Puro,Hidrogênio Líquido,190.0,Local,1653,57.18,9.09
Mega Oxigênio Premium Poderoso,Hidrogênio Líquido,162.0,Nacional,840,18.5,5.2
Essencial Hidrogênio Eficiente Premium,Hidrogênio Gasoso,212.0,Importado Especial,668,,8.14
Plus Hidrogênio Puro Essencial,Hidrogênio Líquido,212.0,Nacional Premium,1589,24.64,4.33
Super Oxigênio Eficiente Premium,Hidrogênio Líquido,185.0,Importado Especial,181,75.21,6.28
Plus Hidrogênio Eficiente Verde,Oxigênio Gasoso,232.0,Local,1493,,7.21
