NomeProduto,Categoria,Preco,Origem,QuantidadeVendida,Litros,ImpactoAmbiental
Super Oxigênio Premium Extra,Oxigênio Gasoso,174.0,Internacional,902,,2.89
Max Oxigênio Premium Natural,Hidrogênio Gasoso,196.0,Local,158,,4.21
Mega Oxigênio Premium Extra,Oxigênio Líquido,155.0,Internacional,876,68.56,9.32
Max Oxigênio Premium Essencial,Oxigênio Gasoso,163.0,Internacional,1661,,0.53
Exclusivo Oxigênio Premium Avançado,Oxigênio Líquido,176.0,Importado Exclusivo,1968,12.4,2.56
Exclusivo Oxigênio Premium Puro,Hidrogênio Gasoso,152.0,Local,1665,,6.31
Plus Oxigênio Premium Essencial,Hidrogênio Gasoso,151.0,Internacional,155,,4.79
Plus Oxigênio Premium Natural,Hidrogênio Líquido,197.0,Importado Especial,251,34.34,9.17
Mega Oxigênio Premium Poderoso,Hidrogênio Gasoso,198.0,Importado Especial,609,,9.42
Exclusivo Oxigênio Premium Puro,Oxigênio Líquido,183.0,Importado Especial,88,49.88,1.4
Ultra Oxigênio Premium Puro,Hidrogênio Líquido,189.0,Importado Exclusivo,1329,53.86,3.62
Essencial Oxigênio Premium Essencial,Hidrogênio Líquido,179.0,Importado Exclusivo,1222,57.6,6.06
Avançado Oxigênio Premium Extra,Oxigênio Gasoso,152.0,Importado Exclusivo,1841,,3.79
Max Oxigênio Premium Poderoso,Oxigênio Gasoso,162.0,Internacional,1578,,2.49
Ultra Oxigênio Premium Avançado,Hidrogênio Líquido,139.0,Importado Especial,1870,94.75,2.69
Essencial Oxigênio Premium Essencial,Hidrogênio Líquido,150.0,Internacional,1611,26.67,8.62
Avançado Oxigênio Premium Avançado,Oxigênio Líquido,162.0,Internacional,584,18.86,7.42
Exclusivo Oxigênio Premium Extra,Hidrogênio Gasoso,187.0,Local,1504,,4.14
Mega Oxigênio Premium Eficiente,Hidrogênio Líquido,167.0,Nacional,1793,65.83,0.29
Super Oxigênio Premium Poderoso,Oxigênio Líquido,185.0,Importado Exclusivo,964,15.92,5.47
Exclusivo Oxigênio Premium Extra,Oxigênio Líquido,199.0,Internacional,504,14.22,6.79
